VARIANT,MASE_mean,MASE_std,RMSE_mean,RMSE_std,MAE_mean,MAE_std
ets,0.6238662352466084,0.34280960808201877,947.2619929493322,1349.6525713017854,800.4771965428723,1135.6442093546736
arima,0.6862614034571736,0.45151109192786804,1542.536674485915,2930.316999997293,1270.4204643698833,2444.2520269334373
drift,0.7628631484851981,0.5566690370610428,2064.6991955590156,4132.224252618952,1672.6661174713165,3367.60909197162
projected_constricted_nfpso,0.7666289273062182,0.4319978690309254,1440.124723881937,2562.359907959382,1157.7065747759102,2015.7441297850064
naive_1,0.8946717482257608,0.7076582396589244,2052.8764643173076,4118.925860833299,1663.717267976289,3358.1904889001457
theta,0.8946717482257608,0.7076582396589244,2052.8764643173076,4118.925860833299,1663.717267976289,3358.1904889001457
seasonal_naive,1.0297233424242622,0.49099777598084265,1699.3900690570583,2902.8429805169076,1233.9893715329474,2003.3242869362784
xgboost,1.125922644771234,0.9522117229022568,1673.9984370750692,2942.769005267717,1366.0230180604829,2377.8663895676555
svr,4.557377300408526,6.19112460922851,4262.455897409687,7711.516715628977,3982.7119558298787,7345.4393797633975
