Variant,Count,Mean_RMSE,Std_RMSE,Mean_MAE,Std_MAE,Mean_MASE,Std_MASE,Mean_sMAPE,Mean_RMSSE
NF_BASE,8780,157.76535607563062,663.9907846266894,130.15394855913124,550.3644698002853,0.988678936947069,1.6137162223886727,52.065772767504846,0.9243180881618067
PC_VALIDATION_ONLY,8780,173.16133721178403,682.5603457029457,136.88474079531164,517.7247679705724,1.0290625529926962,1.4403157938194926,51.89946721579614,0.982494995451368
PC_NO_SENSITIVITY,8780,181.97830251358874,775.2191141999671,145.81839339692843,602.4510723276765,1.0050592065471702,1.0940437466380168,51.62396061608713,0.9651534035804514
PC_NO_COVERAGE,8780,182.25437935863633,726.4755221563796,141.69126362268057,526.3338956601475,1.0306311341517513,1.357625552840638,51.59345462374018,0.9914497685150732
NFPSO,8780,183.1040122918,694.9655131276767,150.61251867797085,567.9000796766246,1.023180543982389,1.1771565688709513,51.47850172042879,0.9769929077151659
PC_NFPSO,8780,184.8900070304332,779.6742542793778,145.88518174587577,595.4458963705952,1.0136196442727645,1.1350983398684693,51.595937521785345,0.9755249248150277
C_NFPSO,8780,185.29231934070344,761.8115551152164,150.01486487328341,607.1077568439861,1.0235650285882134,1.4087179951387525,51.410977000824225,0.9642516569365503
P_NFPSO,8780,187.8311555354607,803.8134948008809,149.51558237742816,626.1255985304089,1.0316512817273815,1.4703095026344637,51.74887246071711,0.9791114039511087
