Variant,Count,Mean_mase,Std_mase,Mean_mae,Std_mae,Mean_rmse,Std_rmse,Mean_smape,Std_smape,Mean_rmsse,Std_rmsse,Mean_mase_scale,Std_mase_scale,Mean_rmsse_scale_sq,Std_rmsse_scale_sq
NF_BASE,8780,0.988678936947069,1.6137162223886743,130.15394855913124,550.3644698002845,157.76535607563062,663.9907846266899,52.065772767504846,46.09620137594054,0.9243180881618068,1.030344690845281,108.58889470367828,448.8752593863159,480609.5415357505,6335020.799626001
PC_VALIDATION_ONLY,8780,1.0290625529926964,1.4403157938194928,136.88474079531164,517.7247679705728,173.16133721178403,682.5603457029466,51.89946721579614,46.05612529487644,0.982494995451368,1.0828856581650943,108.58889470367828,448.8752593863159,480609.5415357505,6335020.799626001
PC_NO_SENSITIVITY,8780,1.00505920654717,1.0940437466380193,145.81839339692846,602.4510723276771,181.9783025135888,775.2191141999676,51.623960616087125,45.82096391211337,0.9651534035804514,0.8715726255207582,108.58889470367828,448.8752593863159,480609.5415357505,6335020.799626001
PC_NO_COVERAGE,8780,1.0306311341517511,1.3576255528406356,141.69126362268057,526.3338956601481,182.25437935863636,726.4755221563785,51.593454623740186,45.85302859333978,0.9914497685150732,1.078082076023032,108.58889470367828,448.8752593863159,480609.5415357505,6335020.799626001
NFPSO,8780,1.023180543982389,1.177156568870951,150.61251867797083,567.9000796766231,183.1040122918,694.9655131276776,51.47850172042879,45.770907036924505,0.976992907715166,0.9729933468410468,108.58889470367828,448.8752593863159,480609.5415357505,6335020.799626001
PC_NFPSO,8780,1.0136196442727647,1.1350983398684689,145.88518174587577,595.4458963705954,184.8900070304332,779.6742542793783,51.59593752178534,45.70702781641065,0.9755249248150276,0.9285040971266852,108.58889470367828,448.8752593863159,480609.5415357505,6335020.799626001
C_NFPSO,8780,1.0235650285882132,1.4087179951387545,150.01486487328344,607.1077568439861,185.29231934070344,761.8115551152175,51.41097700082423,45.927026499929845,0.9642516569365503,1.0177782593218074,108.58889470367828,448.8752593863159,480609.5415357505,6335020.799626001
P_NFPSO,8780,1.0316512817273815,1.4703095026344628,149.5155823774282,626.125598530409,187.8311555354607,803.8134948008803,51.74887246071711,46.12362384521179,0.9791114039511088,1.0424214001347425,108.58889470367828,448.8752593863159,480609.5415357505,6335020.799626001
